id,name,url,pictureURL
8014,Gravity Kills,http://www.last.fm/music/Gravity+Kills,http://userserve-ak.last.fm/serve/252/7213081.jpg
7211,Olivia Ruiz,http://www.last.fm/music/Olivia+Ruiz,http://userserve-ak.last.fm/serve/252/53672787.png
9772,Farewell to Freeway,http://www.last.fm/music/Farewell+to+Freeway,http://userserve-ak.last.fm/serve/252/341267.jpg
149,The Sound Of Lucrecia,http://www.last.fm/music/The+Sound+Of+Lucrecia,http://userserve-ak.last.fm/serve/252/37565391.jpg
5191,DJ Cam,http://www.last.fm/music/DJ+Cam,http://userserve-ak.last.fm/serve/252/24162219.jpg
4285,Arcturus,http://www.last.fm/music/Arcturus,http://userserve-ak.last.fm/serve/252/535600.jpg
4695,Winds,http://www.last.fm/music/Winds,http://userserve-ak.last.fm/serve/252/18075811.jpg
7440,Kay Starr,http://www.last.fm/music/Kay+Starr,http://userserve-ak.last.fm/serve/252/29902579.png
8663,Levellers,http://www.last.fm/music/Levellers,http://userserve-ak.last.fm/serve/252/17047.jpg
10546,Mezo i Kasia Wilk,http://www.last.fm/music/Mezo+i+Kasia+Wilk,http://userserve-ak.last.fm/serve/252/30490683.jpg
11321,Dentaku,http://www.last.fm/music/Dentaku,http://userserve-ak.last.fm/serve/252/49371019.jpg
16716,Showbread,http://www.last.fm/music/Showbread,http://userserve-ak.last.fm/serve/252/160382.jpg
14532,Liliana Felipe,http://www.last.fm/music/Liliana+Felipe,http://userserve-ak.last.fm/serve/252/399196.jpg
1102,William Control,http://www.last.fm/music/William+Control,http://userserve-ak.last.fm/serve/252/24745677.png
1711,Eisbrecher,http://www.last.fm/music/Eisbrecher,http://userserve-ak.last.fm/serve/252/26604579.jpg
8197,Believe,http://www.last.fm/music/Believe,http://userserve-ak.last.fm/serve/252/31185949.jpg
11461,The Morning Light,http://www.last.fm/music/The+Morning+Light,http://userserve-ak.last.fm/serve/252/507854.jpg
5292,Kevin McHale,http://www.last.fm/music/Kevin+McHale,http://userserve-ak.last.fm/serve/252/40867409.png
1372,Deep Purple,http://www.last.fm/music/Deep+Purple,http://userserve-ak.last.fm/serve/252/7541951.jpg
5541,The Polyphonics,http://www.last.fm/music/The+Polyphonics,http://userserve-ak.last.fm/serve/252/164512.jpg
11726,Cherry Ghost,http://www.last.fm/music/Cherry+Ghost,http://userserve-ak.last.fm/serve/252/3699769.jpg
8541,AMBIREP,http://www.last.fm/music/AMBIREP,http://userserve-ak.last.fm/serve/252/36532769.jpg
9577,Spin Aqua,http://www.last.fm/music/Spin+Aqua,http://userserve-ak.last.fm/serve/252/6353.jpg
6672,Darkwood,http://www.last.fm/music/Darkwood,http://userserve-ak.last.fm/serve/252/36101201.jpg
11487,The Shangri-Las,http://www.last.fm/music/The+Shangri-Las,http://userserve-ak.last.fm/serve/252/3086879.gif
16304,Babs Gonzales,http://www.last.fm/music/Babs+Gonzales,http://userserve-ak.last.fm/serve/252/60994095.jpg
16283,The Carlisles,http://www.last.fm/music/The+Carlisles,http://userserve-ak.last.fm/serve/252/8067931.jpg
4069,The Dandy Warhols,http://www.last.fm/music/The+Dandy+Warhols,http://userserve-ak.last.fm/serve/252/204606.jpg
5486,Michael Hutchence,http://www.last.fm/music/Michael+Hutchence,http://userserve-ak.last.fm/serve/252/4373724.jpg
3014,Milton,http://www.last.fm/music/Milton,http://userserve-ak.last.fm/serve/252/3151933.gif
14118,Hagar the Womb,http://www.last.fm/music/Hagar+the+Womb,http://userserve-ak.last.fm/serve/252/46791435.jpg
6941,earth affair feat. morten harket,http://www.last.fm/music/earth+affair+feat.+morten+harket,
9951,The Arcade Fire,http://www.last.fm/music/+noredirect/The+Arcade+Fire,http://userserve-ak.last.fm/serve/252/2725611.jpg
2629,Elvis Costello,http://www.last.fm/music/Elvis+Costello,http://userserve-ak.last.fm/serve/252/33823187.jpg
18310,Above The Golden State,http://www.last.fm/music/Above+The+Golden+State,http://userserve-ak.last.fm/serve/252/30893179.jpg
9052,Cantodiscanto,http://www.last.fm/music/Cantodiscanto,http://userserve-ak.last.fm/serve/252/35447403.jpg
15593,Johnny Hollow,http://www.last.fm/music/Johnny+Hollow,http://userserve-ak.last.fm/serve/252/17936861.jpg
14599,Karen Elson,http://www.last.fm/music/Karen+Elson,http://userserve-ak.last.fm/serve/252/46357739.jpg
16781,Movie Clips,http://www.last.fm/music/Movie+Clips,
1631,Deltron 3030,http://www.last.fm/music/Deltron+3030,http://userserve-ak.last.fm/serve/252/57394033.jpg
18515,Hurricane Bells,http://www.last.fm/music/Hurricane+Bells,http://userserve-ak.last.fm/serve/252/39311521.png
672,Denise Rosenthal,http://www.last.fm/music/Denise+Rosenthal,http://userserve-ak.last.fm/serve/252/55452329.png
